iter	Passed	Remaining
1466	2254	2356
1467	2256	2354
1468	2257	2353
1469	2260	2352
1470	2262	2351
1471	2263	2349
1472	2265	2348
1473	2267	2347
1474	2268	2345
1475	2270	2344
1476	2272	2343
1477	2274	2342
1478	2276	2340
1479	2278	2339
1480	2280	2338
1481	2282	2337
1482	2283	2336
1483	2285	2334
1484	2287	2333
1485	2289	2332
1486	2291	2331
1487	2292	2329
1488	2294	2328
1489	2295	2326
1490	2297	2325
1491	2299	2323
1492	2301	2322
1493	2302	2321
1494	2304	2320
1495	2306	2319
1496	2308	2317
1497	2310	2316
1498	2311	2315
1499	2313	2313
1500	2315	2312
1501	2317	2311
1502	2319	2309
1503	2321	2308
1504	2323	2307
1505	2324	2306
1506	2326	2304
1507	2328	2303
1508	2329	2302
1509	2331	2300
1510	2332	2298
1511	2334	2297
1512	2335	2295
1513	2337	2294
1514	2338	2292
1515	2340	2290
1516	2341	2289
1517	2343	2287
1518	2344	2285
1519	2346	2284
1520	2347	2282
1521	2348	2281
1522	2350	2279
1523	2351	2277
1524	2353	2276
1525	2355	2274
1526	2356	2273
1527	2358	2271
1528	2359	2270
1529	2361	2268
1530	2362	2267
1531	2364	2265
1532	2365	2263
1533	2366	2262
1534	2368	2260
1535	2370	2259
1536	2371	2257
1537	2373	2256
1538	2374	2254
1539	2376	2252
1540	2377	2251
1541	2379	2249
1542	2380	2247
1543	2381	2246
1544	2383	2244
1545	2385	2243
1546	2386	2241
1547	2388	2240
1548	2389	2238
1549	2391	2236
1550	2392	2235
1551	2394	2233
1552	2395	2232
1553	2396	2230
1554	2398	2228
1555	2400	2227
1556	2402	2226
1557	2403	2224
1558	2404	2222
1559	2406	2221
1560	2407	2219
1561	2409	2217
1562	2410	2216
1563	2412	2214
1564	2413	2213
1565	2415	2211
1566	2417	2210
1567	2418	2208
1568	2419	2207
1569	2421	2205
1570	2422	2203
1571	2424	2202
1572	2425	2200
1573	2427	2199
1574	2429	2197
1575	2430	2196
1576	2432	2194
1577	2434	2193
1578	2435	2191
1579	2436	2190
1580	2438	2188
1581	2439	2186
1582	2441	2185
1583	2442	2183
1584	2444	2182
1585	2446	2181
1586	2448	2179
1587	2449	2178
1588	2451	2176
1589	2452	2174
1590	2453	2173
1591	2456	2172
1592	2458	2171
1593	2460	2169
1594	2462	2168
1595	2463	2167
1596	2465	2165
1597	2466	2164
1598	2468	2162
1599	2469	2161
1600	2471	2159
1601	2472	2157
1602	2474	2156
1603	2475	2154
1604	2477	2153
1605	2479	2151
1606	2480	2150
1607	2482	2148
1608	2483	2147
1609	2484	2145
1610	2486	2143
1611	2487	2142
1612	2489	2140
1613	2490	2138
1614	2492	2137
1615	2493	2135
1616	2495	2134
1617	2496	2132
1618	2498	2131
1619	2499	2129
1620	2501	2127
1621	2502	2126
1622	2504	2124
1623	2505	2123
1624	2507	2121
1625	2509	2120
1626	2510	2118
1627	2512	2117
1628	2513	2115
1629	2515	2113
1630	2516	2112
1631	2518	2110
1632	2519	2109
1633	2520	2107
1634	2522	2105
1635	2524	2104
1636	2525	2103
1637	2527	2101
1638	2528	2099
1639	2530	2098
1640	2531	2096
1641	2533	2094
1642	2534	2093
1643	2535	2091
1644	2537	2090
1645	2539	2088
1646	2540	2087
1647	2542	2085
1648	2543	2083
1649	2545	2082
1650	2546	2080
1651	2548	2079
1652	2549	2077
1653	2550	2075
1654	2552	2074
1655	2554	2073
1656	2556	2071
1657	2557	2070
1658	2558	2068
1659	2560	2066
1660	2561	2065
1661	2563	2063
1662	2564	2061
1663	2566	2060
1664	2567	2058
1665	2569	2057
1666	2571	2056
1667	2572	2054
1668	2574	2052
1669	2575	2051
1670	2577	2049
1671	2578	2047
1672	2579	2046
1673	2581	2044
1674	2582	2043
1675	2584	2041
1676	2586	2040
1677	2587	2038
1678	2589	2037
1679	2590	2035
1680	2591	2033
1681	2593	2032
1682	2594	2030
1683	2596	2029
1684	2598	2028
1685	2600	2026
1686	2602	2025
1687	2604	2023
1688	2605	2022
1689	2606	2020
1690	2608	2019
1691	2609	2017
1692	2611	2015
1693	2612	2014
1694	2614	2012
1695	2615	2011
1696	2617	2009
1697	2618	2008
1698	2620	2006
1699	2621	2005
1700	2623	2003
1701	2624	2001
1702	2626	2000
1703	2627	1998
1704	2629	1997
1705	2630	1995
1706	2632	1994
1707	2634	1992
1708	2635	1990
1709	2637	1989
1710	2638	1987
1711	2640	1986
1712	2641	1984
1713	2643	1983
1714	2644	1981
1715	2646	1980
1716	2648	1978
1717	2650	1977
1718	2651	1976
1719	2653	1974
1720	2654	1973
1721	2656	1971
1722	2658	1970
1723	2659	1968
1724	2661	1966
1725	2662	1965
1726	2664	1964
1727	2666	1962
1728	2667	1961
1729	2669	1959
